Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 12, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 31,457,280
  lm_head                 : 5,242,880
  transformer_matrices    : 58,983,360
  scalars                 : 24
  total                   : 100,926,424
Estimated FLOPs per token: 5.033222e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011059 | lrm: 1.00 | dt: 867ms | tok/sec: 75,567 | mfu: 3.8% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.895578 | lrm: 1.00 | dt: 755ms | tok/sec: 86,829 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.510854 | lrm: 1.00 | dt: 756ms | tok/sec: 86,700 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.106956 | lrm: 1.00 | dt: 756ms | tok/sec: 86,693 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.757889 | lrm: 1.00 | dt: 756ms | tok/sec: 86,698 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.469204 | lrm: 1.00 | dt: 756ms | tok/sec: 86,712 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.237580 | lrm: 1.00 | dt: 756ms | tok/sec: 86,687 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.060260 | lrm: 1.00 | dt: 756ms | tok/sec: 86,683 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.906242 | lrm: 1.00 | dt: 756ms | tok/sec: 86,709 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.759967 | lrm: 1.00 | dt: 756ms | tok/sec: 86,704 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.630212 | lrm: 1.00 | dt: 756ms | tok/sec: 86,656 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.524231 | lrm: 1.00 | dt: 757ms | tok/sec: 86,623 | mfu: 4.4% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 6.433988 | lrm: 1.00 | dt: 815ms | tok/sec: 80,447 | mfu: 4.1% | epoch: 1 | remaining: 298s    
step 00013 (0.5%) | loss: 6.364057 | lrm: 1.00 | dt: 757ms | tok/sec: 86,608 | mfu: 4.4% | epoch: 1 | remaining: 298s    
step 00014 (0.8%) | loss: 6.289074 | lrm: 1.00 | dt: 756ms | tok/sec: 86,707 | mfu: 4.4% | epoch: 1 | remaining: 297s    
step 00015 (1.0%) | loss: 6.220032 | lrm: 1.00 | dt: 756ms | tok/sec: 86,700 | mfu: 4.4% | epoch: 1 | remaining: 296s    
step 00016 (1.3%) | loss: 6.158304 | lrm: 1.00 | dt: 756ms | tok/sec: 86,701 | mfu: 4.4% | epoch: 1 | remaining: 295s    
step 00017 (1.5%) | loss: 6.105185 | lrm: 1.00 | dt: 756ms | tok/sec: 86,688 | mfu: 4.4% | epoch: 1 | remaining: 295s    
step 00018 (1.8%) | loss: 6.066354 | lrm: 1.00 | dt: 756ms | tok/sec: 86,702 | mfu: 4.4% | epoch: 1 | remaining: 294s    
step 00019 (2.0%) | loss: 6.017407 | lrm: 1.00 | dt: 756ms | tok/sec: 86,637 | mfu: 4.4% | epoch: 1 | remaining: 293s    
step 00020 (2.3%) | loss: 5.973493 | lrm: 1.00 | dt: 756ms | tok/sec: 86,677 | mfu: 4.4% | epoch: 1 | remaining: 292s    
step 00021 (2.5%) | loss: 5.928134 | lrm: 1.00 | dt: 756ms | tok/sec: 86,686 | mfu: 4.4% | epoch: 1 | remaining: 292s    
step 00022 (2.8%) | loss: 5.891645 | lrm: 1.00 | dt: 756ms | tok/sec: 86,699 | mfu: 4.4% | epoch: 1 | remaining: 291s    
step 00023 (3.0%) | loss: 5.856548 | lrm: 1.00 | dt: 756ms | tok/sec: 86,698 | mfu: 4.4% | epoch: 1 | remaining: 290s    
step 00024 (3.3%) | loss: 5.830391 | lrm: 1.00 | dt: 756ms | tok/sec: 86,692 | mfu: 4.4% | epoch: 1 | remaining: 289s    
step 00025 (3.5%) | loss: 5.807742 | lrm: 1.00 | dt: 756ms | tok/sec: 86,698 | mfu: 4.4% | epoch: 1 | remaining: 289s    
step 00026 (3.8%) | loss: 5.777368 | lrm: 1.00 | dt: 755ms | tok/sec: 86,757 | mfu: 4.4% | epoch: 1 | remaining: 288s    
step 00027 (4.1%) | loss: 5.752905 | lrm: 1.00 | dt: 753ms | tok/sec: 86,991 | mfu: 4.4% | epoch: 1 | remaining: 287s    
step 00028 (4.3%) | loss: 5.720934 | lrm: 1.00 | dt: 753ms | tok/sec: 86,984 | mfu: 4.4% | epoch: 1 | remaining: 286s    
step 00029 (4.6%) | loss: 5.684472 | lrm: 1.00 | dt: 754ms | tok/sec: 86,952 | mfu: 4.4% | epoch: 1 | remaining: 286s    
step 00030 (4.8%) | loss: 5.665797 | lrm: 1.00 | dt: 753ms | tok/sec: 86,984 | mfu: 4.4% | epoch: 1 | remaining: 285s    
